"Story","Title","Result","Date","Stability","Duration (s)"
"Store CRUD test","This will create new store","SUCCESS","2023-06-06T23:19:20.913+01:00[Europe/London]","0.0","7.66"
"Store CRUD test","Verify if the store has been added to application","SUCCESS","2023-06-06T23:19:28.611+01:00[Europe/London]","0.0","0.13"
"Store CRUD test","This will update store information","SUCCESS","2023-06-06T23:19:28.749+01:00[Europe/London]","0.0","0.21"
"Store CRUD test","This will delete Store","SUCCESS","2023-06-06T23:19:28.960+01:00[Europe/London]","0.0","0.12"
